name,no_of_fte_students,no_of_students_per_staff,international_students,country,percent_female
Zarqa University,5768,18.1,32,Jordan,47
Ziauddin University,4906,8.8,1,Pakistan,63
Zhytomyr Polytechnic State University,3869,15.4,1,Ukraine,34 
"Yusuf Maitama Sule University, Kano",12880,33,0,Nigeria,48
York St John University,6315,18.6,12,United Kingdom,65
Yogyakarta State University,23685,18.5,1,Indonesia,59
Yanka Kupala State University of Grodno,11250,15.8,9,Belarus,58
Yamaguchi Prefectural University,1363,12.7,2,Japan,86
Yagshigeldi Kakayev International University of Oil and Gas,4545,9.8,1,Turkmenistan,30 
WSB Academy,4346,6.2,33,Poland,49
Writtle University College,655,7.7,10,United Kingdom,79
Wrexham Glyndwr University,3520,22,14,United Kingdom,61
The World Islamic Sciences and Education University (WISE),7157,24.9,12,Jordan,62
Uzhhorod National University,14836,11.5,11,Ukraine,55
University of Worcester,7400,16.8,13,United Kingdom,69
WHU: Beisheim,1664,29.7,29,Germany,32 
West Virginia University,25500,18.4,5,United States,52
West Ukrainian National University,9408,13.7,3,Ukraine,42
University of West London,9510,15.9,42,United Kingdom,60
Western Caspian University,3245,7.7,5,Azerbaijan,59
Explore,NA,NA,NA,?Wellspring University,NA
Nigeria,NA,NA,NA,University of Wales Trinity Saint David,NA
United Kingdom,NA,NA,NA,Volgograd State University,NA
Russian Federation,NA,NA,NA,Vitebsk State Medical University,NA
Belarus,NA,NA,NA,Visayas State University,NA
Philippines,NA,NA,NA,Virtual University of Tunis,NA
Tunisia,NA,NA,NA,Vila Velha University,NA
Brazil,NA,NA,NA,University of Veterinary Medicine and Pharmacy in Košice,NA
Slovakia,NA,NA,NA,"Veritas University, Abuja",NA
Nigeria,NA,NA,NA,Varna University of Management,NA
Bulgaria,NA,NA,NA,Varendra University,NA
Bangladesh,NA,NA,NA,University of Vale do Itajaí,NA
Brazil,NA,NA,NA,Valahia University of Targoviste,NA
Romania,NA,NA,NA,National University of Uzbekistan named after Mirzo Ulugbek,NA
Uzbekistan,NA,NA,NA,Explore,NA
University of Uyo,18911,30.4,0,Nigeria,42
Universidad UTE,10628,19,1,Ecuador,48
"Usmanu Danfodiyo University, Sokoto",24553,19.1,0,Nigeria,31 
Üsküdar University,22967,43.3,11,Turkey,64
Urgench State University,22548,21.3,5,Uzbekistan,58
Ural State Medical University,7067,11.9,5,Russian Federation,75
UNNOBA,8614,12.4,2,Argentina,58
Institute of Telecommunications and Informatics of Turkmenistan,2900,9.7,0,Turkmenistan,24 
University College of Osteopathy,390,11.1,28,United Kingdom,55
Universidad del Pacífico Ecuador,651,13.9,2,Ecuador,58
United International University,4632,21.4,1,Bangladesh,30 
Unichristus,5497,15.4,0,Brazil,67
Umaru Musa Yar’adua University,10334,20.3,0,Nigeria,27 
UIN Sulthan Thaha Saifuddin Jambi,16859,47.5,1,Indonesia,56
UBT,9757,15.5,4,Kosovo,45
Ubon Ratchathani University,15717,22.1,0,Thailand,67
Turin Polytechnic University in Tashkent,1752,18.8,4,Uzbekistan,0.602083333
Trinity Laban Conservatoire of Music and Dance,1180,9.8,31,United Kingdom,67
Toyama Prefectural University,1630,8.2,2,Japan,26 
Tomsk State Pedagogical University,5032,19.8,6,Russian Federation,80
Tashkent State University of Economics,8304,14.2,1,Uzbekistan,27 
Tokyo University of Foreign Studies,4413,17.9,11,Japan,66
Tikrit University,36905,13.1,0,Iraq,36 
Termez Institute of Engineering and Technology,4296,36.7,0,Uzbekistan,0.684027778
Termez State University,25070,35.7,1,Uzbekistan,49
Tenri University,3147,22.5,5,Japan,34 
University of Telafer,1456,30.3,0,Iraq,44
Institut Teknologi Nasional Bandung (ITENAS Bandung),5548,23,0,Indonesia,27 
Instituto Tecnológico Metropolitano,25333,28.6,0,Colombia,44
Tecnológico de Costa Rica,10651,13.8,2,Costa Rica,35 
Tecmilenio University,2932,16.5,1,Mexico,45
Tatung University,4036,19.6,3,Taiwan,39 
Tashkent Institute of Textile and Light Industry,4266,11.7,0,Uzbekistan,40 
Tashkent State Transport University,17319,24.9,0,Uzbekistan,0.438194444
Tashkent State Technical University,14591,14.2,0,Uzbekistan,0.765972222
Tashkent State University of Oriental Studies,4291,16.1,1,Uzbekistan,51
Université Sultan Moulay Slimane,31042,50,0,Morocco,51
Tashkent State University of Law,4819,10.6,1,Uzbekistan,27 
Tashkent State Dental Institute,4609,8.9,3,Uzbekistan,52
Tashkent State Agrarian University,11560,13.5,0,Uzbekistan,51
Tashkent Pharmaceutical Institute,3313,12.2,13,Uzbekistan,64
Tashkent Pediatric Medical Institute,5704,10.1,1,Uzbekistan,50
Tashkent Medical Academy,6495,8.8,2,Uzbekistan,42
Tashkent Institute of Irrigation and Agricultural Mechanisation,5750,7.1,5,Uzbekistan,24 
Tashkent University of Information Technologies,14404,15.5,0,Uzbekistan,0.970833333
Tashkent Institute of Finance,8370,21.2,1,Uzbekistan,29 
Tarsus University,2556,27.8,2,Turkey,42
Tarlac Agricultural University,5351,24.3,0,Philippines,56
Tama Art University,4719,32.8,11,Japan,73
University of Taipei,7988,17.6,2,Taiwan,60
Tafila Technical University,4094,21.9,1,Jordan,43
Széchenyi István University,9299,14.7,5,Hungary,43
Suratthani Rajabhat University,12086,24.6,0,Thailand,71
Sulaimani Polytechnic University,3762,11.4,0,Iraq,50
Sugiyama Jogakuen University,6064,29.4,0,Japan,100
University of Suffolk,3245,16.6,14,United Kingdom,71
Suez University,18010,21.8,2,Egypt,55
Stranmillis University College,1060,23.6,18,United Kingdom,79
"St Mary’s University, Twickenham",4740,18.2,25,United Kingdom,54
"St Mary’s University College, Belfast",915,22.9,48,United Kingdom,74
State University of Land Use Planning,4202,13.4,5,Russian Federation,51
State Energy Institute of Turkmenistan,2134,11.5,2,Turkmenistan,28 
State University of Bahia,20384,10.2,0,Brazil,67
Sri Padmavati Mahila Visvavidyalayam (Women's University),5475,19.6,6,India,83
Sri Lanka Institute of Information Technology,11151,38.7,0,Sri Lanka,37 
University of Sri Jayewardenepura,17069,23.4,0,Sri Lanka,62
Sri Balaji Vidyapeeth,3850,7.4,1,India,53
SR University,3238,13.1,0,India,49
University of South Santa Catarina (Unisul),16602,18.8,0,Brazil,52
Soran University,4596,9.5,0,Iraq,50
University of Sopron,2847,14.9,3,Hungary,63
"Solent University, Southampton",8640,16.1,30,United Kingdom,45
Sokoto State University,8244,23.8,0,Nigeria,25 
Sir Syed University of Engineering and Technology,5879,14.1,0,Pakistan,0.643055556
Simón Bolívar University (Colombia),18482,18.2,1,Colombia,60
Simón Bolívar University,4462,10.5,0,Venezuela,43
